[2010-03-06 23:30] [IC: Local Do] * What does Troy see? *      ((LaTroy Linus))
[2010-03-06 23:43] [IC: Local Do] * Do I find any ID? *      ((Steve Razinsky))
[2010-03-06 23:44] [IC: Local Do] * it falls into the valley *      ((Ramon Fernandez))
[2010-03-06 23:44] [IC: Local Do] * Name reads "Edward Parker" *      ((Steve Razinsky))
[2010-03-06 23:44] [IC: Local Do] * IIts running toward us *      ((Eduardo Diaz))
[2010-03-06 23:45] [IC: Local Do] * it comes right on my hit *      ((Santiago Cortez))
[2010-03-06 23:45] [IC: Local Do] * bigfoot runs away *      ((Ramon Fernandez))
[2010-03-06 23:45] [IC: Local Do] * Blood seeps out a little *      ((John Brenkly))
[2010-03-06 23:45] [IC: Local Do] * it falls *      ((Ramon Fernandez))
[2010-03-06 23:46] [IC: Local Do] * PISSSSSSS *      ((Nathan Garcia))
[2010-03-06 23:46] [IC: Local Do] * SCHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH *      ((John Brenkly))
[2010-03-06 23:46] [IC: Local Do] * im still holding the gun *      ((Jackson Shakur))
[2010-03-06 23:46] [IC: Local Do] * cuts into his brain *      ((Nick Rose))
[2010-03-06 23:46] [IC: Local Do] * SCHHHHHHHHHHHHHHHHHHH*MUFFLED*HHHHHHHHHHHH *      ((John Brenkly))
[2010-03-06 23:46] [IC: Local Do] * Bone Dust flies around, filling the area *      ((John Brenkly))
[2010-03-06 23:47] [IC: Local Do] * The Camera enters your skull, into the fluid surrounding the brain *      ((John Brenkly))
[2010-03-06 23:48] [IC: Local Do] * The camera seeps past the brain *      ((John Brenkly))
[2010-03-06 23:49] [IC: Local Do] * instant CK *      ((Nathan Garcia))
[2010-03-06 23:50] [IC: Local Do] * The joint lights up, smoke flowing from it. *      ((Simon Nirva))
[2010-03-06 23:51] [IC: Local Do] * a Small neat line of gamma rays shoot into Nick's head *      ((John Brenkly))
[2010-03-06 23:51] [IC: Local Do] * The rays pass the skull *      ((John Brenkly))
[2010-03-06 23:51] [IC: Local Do] * The rays enter the cancer cells *      ((John Brenkly))
[2010-03-06 23:51] [IC: Local Do] * Visible bulge in wasitline. *      ((Andre Williams))
[2010-03-06 23:51] [IC: Local Do] * A black bandana is shown draped out of Andre's back left pocket. *      ((Andre Williams))
[2010-03-06 23:52] [IC: Local Do] * Faustin is holding a Blackberry Bold over his left ear. *      ((Faustin Regressari))
[2010-03-06 23:52] [IC: Local Do] * You see a black bandana tied tightly around Simon's head. *      ((Simon Nirva))
[2010-03-06 23:52] [IC: Local Do] * You see a visible bulge at Simon's waistline. *      ((Simon Nirva))
[2010-03-06 23:54] [IC: Local Do] * The engine shuts off. *      ((Matsuhiro Takeda))
[2010-03-06 23:56] [IC: Local Do] * hi *      ((Nathan Garcia))
[2010-03-06 23:56] [IC: Local Do] * window ? *      ((Drake Jonson))
[2010-03-06 23:56] [IC: Local Do] * windows are tinted *      ((Matt McRae))
[2010-03-06 23:58] [IC: Local Do] * no badge *      ((Matt McRae))
[2010-03-06 23:59] [IC: Local Do] * Suceed? *      ((Joseph McVey))
[2010-03-07 00:00] [IC: Local Do] * Break? *      ((Joseph McVey))
[2010-03-07 00:00] [IC: Local Do] * window doesnt break *      ((Matt McRae))
[2010-03-07 00:01] [IC: Local Do] * Matt is your window opened? *      ((Joseph McVey))
[2010-03-07 00:01] [IC: Local Do] * Kicked several times *      ((Joseph McVey))
[2010-03-07 00:01] [IC: Local Do] * no its smashed but not opened *      ((Matt McRae))
[2010-03-07 00:01] [IC: Local Do] * car is smashed up badly *      ((Matt McRae))
[2010-03-07 00:09] [IC: Local Do] * Simon's Admiral has visible scratches and rust covering it, a loud ticking can be heard when it moves. *      ((Simon Nirva))
[2010-03-07 00:10] [IC: Local Do] * Simon's Admiral has visible scratches and rust covering it, a loud ticking can be heard when it moves. *      ((Simon Nirva))
[2010-03-07 00:13] [IC: Local Do] * You see a black bandana tied tightly around Simon's head. *      ((Simon Nirva))
[2010-03-07 00:13] [IC: Local Do] * You see a visible bulge at Simon's waistline. *      ((Simon Nirva))
[2010-03-07 00:20] [IC: Local Do] * Suceed? *      ((Daniel Baker))
[2010-03-07 00:20] [IC: Local Do] * success? *      ((Jacob Washington))
[2010-03-07 00:21] [IC: Local Do] * Simon 's hands are cuffed. *      ((Simon Nirva))
[2010-03-07 00:21] [IC: Local Do] * Do I succeed in getting you left hnad behind? *      ((Daniel Baker))
[2010-03-07 00:21] [IC: Local Do] * success? *      ((Jacob Washington))
[2010-03-07 00:22] [IC: Local Do] * Do I suceed?? *      ((Daniel Baker))
[2010-03-07 00:22] [IC: Local Do] * success? *      ((Jacob Washington))
[2010-03-07 00:22] [IC: Local Do] * success?? *      ((Jacob Washington))
[2010-03-07 00:23] [IC: Local Do] * success? *      ((Jacob Washington))
[2010-03-07 00:23] [IC: Local Do] * success? *      ((Jacob Washington))
[2010-03-07 00:23] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 00:24] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 00:24] [IC: Local Do] * Click *      ((Daniel Baker))
[2010-03-07 00:25] [IC: Local Do] * The cuffs are placed in his Simon's hands. *      ((Daniel Baker))
[2010-03-07 00:25] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 00:26] [IC: Local Do] * Suceed? *      ((Daniel Baker))
[2010-03-07 00:26] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 00:26] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 00:27] [IC: Local Do] * Do I succeed? *      ((Joe Bannon))
[2010-03-07 00:27] [IC: Local Do] * Succeeds, Leroy does not resist. *      ((Leroy Jackson))
[2010-03-07 00:29] [IC: Local Do] * I find Angel Dust? *      ((Jacob Washington))
[2010-03-07 00:30] [IC: Local Do] * Resistance? *      ((Daniel Baker))
[2010-03-07 00:30] [IC: Local Do] * You see a black bandana tied tightly around Simon's head. *      ((Simon Nirva))
[2010-03-07 00:30] [IC: Local Do] * shit is comming out *      ((Ryan Nash))
[2010-03-07 00:31] [IC: Local Do] * Resistance? *      ((Daniel Baker))
[2010-03-07 00:32] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 00:32] [IC: Local Do] * Do I find anything illegal like Guns or Drugs? *      ((Daniel Baker))
[2010-03-07 00:32] [IC: Local Do] * You find a dice, cellphone and an MP3 player. *      ((Simon Nirva))
[2010-03-07 00:32] [IC: Local Do] * has a empty colt .45 strapped to thigh *      ((Henrique Herandez))
[2010-03-07 00:33] [IC: Local Do] * Poop falls on the floor *      ((Ryan Nash))
[2010-03-07 00:34] [IC: Local Do] * His pants are shity,torso is puked,mouth dirty,and toilet paper is sticking from his pants *      ((Ryan Nash))
[2010-03-07 00:35] [IC: Local Do] * the picture pops out of the camera and Jacob places the picture in the file *      ((Jacob Washington))
[2010-03-07 00:35] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 00:36] [IC: Local Do] * the floor is all clean *      ((Ryan Nash))
[2010-03-07 00:36] [IC: Local Do] * has a Empty Colt .45 strapped to thigh *      ((Henrique Herandez))
[2010-03-07 00:40] [IC: Local Do] * you can see gray bandana hanging out from drakes pocket *      ((Drake Jonson))
[2010-03-07 00:40] [IC: Local Do] * you can see big scar on drakes face *      ((Drake Jonson))
[2010-03-07 00:41] [IC: Local Do] * Succeed? *      ((Daniel Baker))
[2010-03-07 00:41] [IC: Local Do] * Click. *      ((Daniel Baker))
[2010-03-07 00:42] [IC: Local Do] * Cuffed already? *      ((Joe Bannon))
[2010-03-07 00:42] [IC: Local Do] * yes *      ((Henrique Herandez))
[2010-03-07 00:43] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 00:43] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 00:44] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 00:45] [IC: Local Do] * Chocolate and cream *      ((Pablo Villanueva))
[2010-03-07 00:46] [IC: Local Do] * there is a M4 on Katashi's back *      ((Katashi Nagamachi))
[2010-03-07 00:47] [IC: Local Do] * success? *      ((Katashi Nagamachi))
[2010-03-07 00:47] [IC: Local Do] * success *      ((Henrique Herandez))
[2010-03-07 00:47] [IC: Local Do] * Henrique is cuffed? *      ((Katashi Nagamachi))
[2010-03-07 00:48] [IC: Local Do] * yes *      ((Henrique Herandez))
[2010-03-07 00:48] [IC: Local Do] * succeed *      ((Jimmy Sanders))
[2010-03-07 00:49] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 00:50] [IC: Local Do] * fake mask on *      ((Joshua Loyd))
[2010-03-07 00:50] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 00:53] [IC: Local Do] * Dougie has a strong Scottish accent. *      ((Dougie MacKenzie))
[2010-03-07 00:54] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 00:54] [IC: Local Do] * unconsciouis *      ((Juan Gonzales))
[2010-03-07 00:55] [IC: Local Do] * finds empty colt .45 *      ((Henrique Herandez))
[2010-03-07 00:56] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 00:57] [IC: Local Do] * accetps the dap *      ((Raymond Straight))
[2010-03-07 00:57] [IC: Local Do] * conscious *      ((Juan Gonzales))
[2010-03-07 00:58] [IC: Local Do] * you can see big scar on drakes face *      ((Drake Jonson))
[2010-03-07 00:58] [IC: Local Do] * you can see gray bandana hanging out from drakes pocket *      ((Drake Jonson))
[2010-03-07 01:00] [IC: Local Do] * do i see anything up there? *      ((Katashi Nagamachi))
[2010-03-07 01:00] [IC: Local Do] * no *      ((Henrique Herandez))
[2010-03-07 01:01] [IC: Local Do] * Duke is wearing mechanic clothes and using a belt around his waist with tools on it. *      ((Haruki Kenshi))
[2010-03-07 01:01] [IC: Local Do] * anything in there/ *      ((Katashi Nagamachi))
[2010-03-07 01:01] [IC: Local Do] * small vial of antidepressants under tongue *      ((Henrique Herandez))
[2010-03-07 01:08] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 01:10] [IC: Local Do] * window is down *      ((Jimmy Sanders))
[2010-03-07 01:20] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 01:21] [IC: Local Do] * you can smell smoke smelling around house *      ((Drake Jonson))
[2010-03-07 01:22] [IC: Local Do] * You can see the back wearing down , and the windows cracking *      ((Dante Garcia))
[2010-03-07 01:23] [IC: Local Do] * You can see the window cracks down due the damage done *      ((Dante Garcia))
[2010-03-07 01:25] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 01:25] [IC: Local Do] * succeds? *      ((Santiago Cortez))
[2010-03-07 01:26] [IC: Local Do] * he succeds *      ((Chris Gary))
[2010-03-07 01:34] [IC: Local Do] * Succeed? *      ((Juan Vasquez))
[2010-03-07 01:34] [IC: Local Do] * Yes *      ((Carlos Montana))
[2010-03-07 01:34] [IC: Local Do] * Windows rolled down. *      ((Jesse Kleinman))
[2010-03-07 01:36] [IC: Local Do] * Huck Huck. *      ((Ronan McMurphy))
[2010-03-07 01:37] [IC: Local Do] * It's pretty clean. *      ((Michael Ricciotti))
[2010-03-07 01:42] [IC: Local Do] * Barmaid says: Yes, Sir. *      ((Juan Vasquez))
[2010-03-07 01:42] [IC: Local Do] * You can hear manele *      ((Jonathan Levee))
[2010-03-07 01:42] [IC: Local Do] * She goes to a Refrigerator next to her and takesout two bottles of Beer. *      ((Juan Vasquez))
[2010-03-07 01:43] [IC: Local Do] * She places Them on the table. *      ((Juan Vasquez))
[2010-03-07 01:43] [IC: Local Do] * Barmaid Says: There you go, Sir. *      ((Juan Vasquez))
[2010-03-07 01:44] [IC: Local Do] * The Barmaid says: 20$ Sir. *      ((Juan Vasquez))
[2010-03-07 01:44] [IC: Local Do] * Barmaid Says: Have a good day, Sir. *      ((Juan Vasquez))
[2010-03-07 01:48] [IC: Local Do] * Succeeds. *      ((Roy Shine))
[2010-03-07 01:48] [IC: Local Do] * Gulp Gulp *      ((Juan Vasquez))
[2010-03-07 01:49] [IC: Local Do] * Rofl Rofl *      ((Carlos Montana))
[2010-03-07 01:52] [IC: Local Do] * windows are down *      ((Marshal Carfield))
[2010-03-07 01:56] [IC: Local Do] * Succends *      ((Jonathan Levee))
[2010-03-07 01:56] [IC: Local Do] * succed ? *      ((Drake Jonson))
[2010-03-07 01:57] [IC: Local Do] * Succends *      ((Jonathan Levee))
[2010-03-07 01:59] [IC: Local Do] * succed ? *      ((Drake Jonson))
[2010-03-07 01:59] [IC: Local Do] * Yes *      ((Jonathan Levee))
[2010-03-07 02:02] [IC: Local Do] * Succeed? *      ((Juan Vasquez))
[2010-03-07 02:03] [IC: Local Do] * Holds on to gun *      ((Hiroshi Oshiro))
[2010-03-07 02:03] [IC: Local Do] * suceed? *      ((Hiroshi Oshiro))
[2010-03-07 02:03] [IC: Local Do] * Fail, I'm tyring to get teh gun from you *      ((Juan Vasquez))
[2010-03-07 02:04] [IC: Local Do] * Do I get the gun? *      ((Juan Vasquez))
[2010-03-07 02:04] [IC: Local Do] * Still tries to keep it *      ((Hiroshi Oshiro))
[2010-03-07 02:05] [IC: Local Do] * Receptionist looks up from the keyboard. *      ((Tim Burrows))
[2010-03-07 02:06] [IC: Local Do] * succeed ? *      ((Jack Shakur))
[2010-03-07 02:06] [IC: Local Do] * What happens after Carlos shoot's your leg? *      ((Juan Vasquez))
[2010-03-07 02:06] [IC: Local Do] * Rec says, "good evening, sir. What can I do for you?" *      ((Tim Burrows))
[2010-03-07 02:06] [IC: Local Do] * succeed ? *      ((Jack Shakur))
[2010-03-07 02:06] [IC: Local Do] * Succeds *      ((Jonathan Levee))
[2010-03-07 02:08] [IC: Local Do] * Rec says, "Alright, just sign these papers and you will be on your way." *      ((Tim Burrows))
[2010-03-07 02:08] [IC: Local Do] * Rec reaches under her desk and pulls out a few forms. *      ((Tim Burrows))
[2010-03-07 02:08] [IC: Local Do] * Rec places the forms on the counter facing Tim while grabbign a pen. *      ((Tim Burrows))
[2010-03-07 02:09] [IC: Local Do] * Rec offers Tim a pen. *      ((Tim Burrows))
[2010-03-07 02:10] [IC: Local Do] * Rec takes the pen and forms. *      ((Tim Burrows))
[2010-03-07 02:10] [IC: Local Do] * Rec inspects the signature then smiles. *      ((Tim Burrows))
[2010-03-07 02:11] [IC: Local Do] * Rec says, "Okay, thank you very much Mr. Burrows. Just wait a moment for the license to prin *      ((Tim Burrows))
[2010-03-07 02:11] [IC: Local Do] * print." *      ((Tim Burrows))
[2010-03-07 02:12] [IC: Local Do] * Printer starts to make some noise for a few seconds *      ((Tim Burrows))
[2010-03-07 02:12] [IC: Local Do] * Accepts *      ((Jonathan Levee))
[2010-03-07 02:12] [IC: Local Do] * Rec removes the printed license from the printer and hands them over to Tim. *      ((Tim Burrows))
[2010-03-07 02:13] [IC: Local Do] * Too himself *      ((Joseph McVey))
[2010-03-07 02:14] [IC: Local Do] * succeed *      ((Jimmy Sanders))
[2010-03-07 02:14] [IC: Local Do] * Has a constant sarcastic grin on his face.. *      ((Michael Ricciotti))
[2010-03-07 02:17] [IC: Local Do] * accepts *      ((Raymond Straight))
[2010-03-07 02:21] [IC: Local Do] * fails *      ((Chris Gambetti))
[2010-03-07 02:22] [IC: Local Do] * Door opens. *      ((Joseph McVey))
[2010-03-07 02:22] [IC: Local Do] * Door thumps *      ((Joseph McVey))
[2010-03-07 02:22] [IC: Local Do] * accept *      ((David Johnson))
[2010-03-07 02:22] [IC: Local Do] * You hear a black guy talking loudly and music playing *      ((Joseph McVey))
[2010-03-07 02:22] [IC: Local Do] * door closes *      ((Joseph McVey))
[2010-03-07 02:23] [IC: Local Do] * accept *      ((David Johnson))
[2010-03-07 02:23] [IC: Local Do] * Shotgun hidden behind his belt and shirt. *      ((Carlos Montana))
[2010-03-07 02:24] [IC: Local Do] * Succeed? *      ((Juan Vasquez))
[2010-03-07 02:24] [IC: Local Do] * Pulls back and attemps to kick Juan *      ((Hiroshi Oshiro))
[2010-03-07 02:24] [IC: Local Do] * suceed? *      ((Hiroshi Oshiro))
[2010-03-07 02:24] [IC: Local Do] * /sit + /glue *      ((Chris Gambetti))
[2010-03-07 02:25] [IC: Local Do] * 1/2 *      ((Brian Beatty))
[2010-03-07 02:25] [IC: Local Do] * 2/2 *      ((Brian Beatty))
[2010-03-07 02:25] [IC: Local Do] * SCROLL UP!! *      ((Juan Vasquez))
[2010-03-07 02:26] [IC: Local Do] * Hiroshi's leg bleeding due to the shot. *      ((Carlos Montana))
[2010-03-07 02:26] [IC: Local Do] * Succees. *      ((Juan Vasquez))
[2010-03-07 02:27] [IC: Local Do] * do I pick him up? *      ((Jacob Garcia))
[2010-03-07 02:27] [IC: Local Do] * fail *      ((Jimmy Sanders))
[2010-03-07 02:27] [IC: Local Do] * fail i pushed you away with my other arm *      ((Jimmy Sanders))
[2010-03-07 02:28] [IC: Local Do] * succeed *      ((Jimmy Sanders))
[2010-03-07 02:28] [IC: Local Do] * Succeed? *      ((Juan Vasquez))
[2010-03-07 02:28] [IC: Local Do] * do I succeed in picking you up? *      ((Jacob Garcia))
[2010-03-07 02:28] [IC: Local Do] * yea *      ((Jimmy Sanders))
[2010-03-07 02:29] [IC: Local Do] * Succeed? *      ((Juan Vasquez))
[2010-03-07 02:29] [IC: Local Do] * A lot of weed is seen, this one might be a fatty HAHA *      ((Joseph McVey))
[2010-03-07 02:31] [IC: Local Do] * jinge *      ((Maccer Davidson))
[2010-03-07 02:31] [IC: Local Do] * any resistance? *      ((Jacob Garcia))
[2010-03-07 02:31] [IC: Local Do] * not at all *      ((Jimmy Sanders))
[2010-03-07 02:32] [IC: Local Do] * What do I see out of my window? *      ((Maccer Davidson))
[2010-03-07 02:32] [IC: Local Do] * He finds 6 more bullets? *      ((Juan Vasquez))
[2010-03-07 02:33] [IC: Local Do] * succeds *      ((Nathan Garcia))
[2010-03-07 02:33] [IC: Local Do] * You see his diamond grill *      ((Joseph McVey))
[2010-03-07 02:34] [IC: Local Do] * suceed? *      ((Hiroshi Oshiro))
[2010-03-07 02:35] [IC: Local Do] * succeed? *      ((Juan Vasquez))
[2010-03-07 02:35] [IC: Local Do] * suceed? *      ((Hiroshi Oshiro))
[2010-03-07 02:35] [IC: Local Do] * suceed *      ((Hiroshi Oshiro))
[2010-03-07 02:35] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 02:35] [IC: Local Do] * cant hear as there is a bullet proof and sound proof glass between the front and teh back *      ((Jacob Garcia))
[2010-03-07 02:36] [IC: Local Do] * Rifle strapped on his passenger seat - Remington rifle *      ((Maccer Davidson))
[2010-03-07 02:38] [IC: Local Do] * appears okay *      ((Adam Benjamin))
[2010-03-07 02:42] [IC: Local Do] * The engine revs and ignites *      ((Maccer Davidson))
[2010-03-07 03:04] [IC: Local Do] * succeds *      ((Nathan Garcia))
[2010-03-07 03:17] [IC: Local Do] * succeed *      ((Andres Castro))
[2010-03-07 03:18] [IC: Local Do] * Has tec-9 hidden in jacket *      ((Nathan Garcia))
[2010-03-07 03:19] [IC: Local Do] * succeds *      ((Nathan Garcia))
[2010-03-07 03:20] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 03:20] [IC: Local Do] * the window is down *      ((Enrique Thompson))
[2010-03-07 03:21] [IC: Local Do] * succeed? *      ((Andres Castro))
[2010-03-07 03:22] [IC: Local Do] * fails as the car drives forward making the billet hit the hood *      ((Enrique Thompson))
[2010-03-07 03:33] [IC: Local Do] * you see a wad of cash *      ((Enrique Thompson))
[2010-03-07 03:34] [IC: Local Do] * fails, im supahman *      ((Luke Matos))
[2010-03-07 03:47] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 03:48] [IC: Local Do] * money comes out of the machine *      ((Enrique Thompson))
[2010-03-07 03:53] [IC: Local Do] * succeed/fail? *      ((Levi Robinson))
[2010-03-07 03:56] [IC: Local Do] * succeds? *      ((Nate Rose))
[2010-03-07 03:56] [IC: Local Do] * me back up and dodges the punchs. *      ((Ronan McMurphy))
[2010-03-07 03:57] [IC: Local Do] * fail. *      ((Ronan McMurphy))
[2010-03-07 03:59] [IC: Local Do] * forms a "E","B","D" with his fingers and throws it in the air *      ((Adam Benjamin))
[2010-03-07 04:05] [IC: Local Do] * fails *      ((Nate Rose))
[2010-03-07 04:07] [IC: Local Do] * succeds? *      ((Nate Rose))
[2010-03-07 04:07] [IC: Local Do] * How do you ram him? Specifics? *      ((Maccer Davidson))
[2010-03-07 04:07] [IC: Local Do] * goes full speed towards officer suddenly *      ((Nate Rose))
[2010-03-07 04:07] [IC: Local Do] * Any chance I could have avoided it by jumping away, e.g. by hearing the sound of your car *      ((Randall Himes))
[2010-03-07 04:07] [IC: Local Do] * coming? *      ((Randall Himes))
[2010-03-07 04:07] [IC: Local Do] * success *      ((Luke Matos))
[2010-03-07 04:08] [IC: Local Do] * no, suddenly goes unexpeted at full speed *      ((Nate Rose))
[2010-03-07 04:08] [IC: Local Do] * succeds? *      ((Nate Rose))
[2010-03-07 04:08] [IC: Local Do] * The car runs over Randall as he just turns around to see what's coming *      ((Randall Himes))
[2010-03-07 04:09] [IC: Local Do] * Randall Himes gets hit and flips on the sidewalk *      ((Randall Himes))
[2010-03-07 04:09] [IC: Local Do] * Does he hit all 3? *      ((Maccer Davidson))
[2010-03-07 04:09] [IC: Local Do] * Randall just got hit by the car driven by Nate *      ((Randall Himes))
[2010-03-07 04:09] [IC: Local Do] * What type of pulse do I feel? *      ((Maccer Davidson))
[2010-03-07 04:10] [IC: Local Do] * Fast pacing, Randall does not respond to the touching, as he seems to be unconscious *      ((Randall Himes))
[2010-03-07 04:11] [IC: Local Do] * Malcolm is standing behind the counter. *      ((Malcolm King))
[2010-03-07 04:11] [IC: Local Do] * Supposed shock prevention *      ((Maccer Davidson))
[2010-03-07 04:13] [IC: Local Do] * The jacket flutters lightly, but is held down *      ((Maccer Davidson))
[2010-03-07 04:14] [IC: Local Do] * bleep, bleep, bleeeep, dial tone *      ((Maccer Davidson))
[2010-03-07 04:15] [IC: Local Do] * Randall still does not respond to his environment, seemingly still unconscious *      ((Randall Himes))
[2010-03-07 04:15] [IC: Local Do] * You could remember the car that ran me over *      ((Randall Himes))
[2010-03-07 04:16] [IC: Local Do] * The police officer is covered with a business jacket *      ((Maccer Davidson))
[2010-03-07 04:16] [IC: Local Do] * My foot is holding it down *      ((Maccer Davidson))
[2010-03-07 04:17] [IC: Local Do] * how is it? *      ((Jacob Garcia))
[2010-03-07 04:17] [IC: Local Do] * Went from fast-pacing to almost stable again, but still pretty fast *      ((Randall Himes))
[2010-03-07 04:18] [IC: Local Do] * checks mans breathing *      ((Jacob Garcia))
[2010-03-07 04:18] [IC: Local Do] * how is it? *      ((Jacob Garcia))
[2010-03-07 04:18] [IC: Local Do] * Breating appears to be normal *      ((Randall Himes))
[2010-03-07 04:18] [IC: Local Do] * Do I find any? *      ((Jacob Garcia))
[2010-03-07 04:18] [IC: Local Do] * No external injuries, no *      ((Randall Himes))
[2010-03-07 04:20] [IC: Local Do] * A grey car just passed by, a euro, I exclaimed the car passed by *      ((Maccer Davidson))
[2010-03-07 04:20] [IC: Local Do] * that ran over the officer *      ((Maccer Davidson))
[2010-03-07 04:20] [IC: Local Do] * I tell you to take chase him after, and I treat him *      ((Maccer Davidson))
[2010-03-07 04:22] [IC: Local Do] * do I succeed *      ((Jacob Garcia))
[2010-03-07 04:22] [IC: Local Do] * I am holding down his blanket *      ((Maccer Davidson))
[2010-03-07 04:22] [IC: Local Do] * the man has a briefcase in hand *      ((Hachemon Abukaru))
[2010-03-07 04:23] [IC: Local Do] * Succeeds and sits down *      ((Randall Himes))
[2010-03-07 04:24] [IC: Local Do] * do I succeed? *      ((Jacob Garcia))
[2010-03-07 04:24] [IC: Local Do] * Succeeds, with some effort *      ((Randall Himes))
[2010-03-07 04:24] [IC: Local Do] * Trunk is now open. *      ((Fred Kilroy))
[2010-03-07 04:24] [IC: Local Do] * this squints his eyes *      ((Hachemon Abukaru))
[2010-03-07 04:25] [IC: Local Do] * Stuttering *      ((Maccer Davidson))
[2010-03-07 04:26] [IC: Local Do] * A flap pops down, revealing a small screen and a keyboard. *      ((Kitagaki Mitsuharu))
[2010-03-07 04:27] [IC: Local Do] * A Windows logout tune plays. *      ((Kitagaki Mitsuharu))
[2010-03-07 04:35] [IC: Local Do] * Do I have enough power to try? *      ((Maccer Davidson))
[2010-03-07 04:35] [IC: Local Do] * succees *      ((Luke Matos))
[2010-03-07 04:36] [IC: Local Do] * do I succeed in cuffing? *      ((Jacob Garcia))
